Timestamp_Shimmer;Skin_Conductance;Skin_Resistance;PPG_A13
15.157.087.097.167.900;18.788.839.684.362.000;5.322.308.438.409.310;25.128.205.128.205.100
15.158.087.158.203.100;18.788.839.684.362.000;5.322.308.438.409.310;25.128.205.128.205.100
15.159.087.219.238.200;18.788.839.684.362.000;5.322.308.438.409.310;252.014.652.014.652
15.160.087.280.273.400;18.752.391.886.720.200;533.265.306.122.449;252.014.652.014.652
15.161.087.341.308.500;18.788.839.684.362.000;5.322.308.438.409.310;252.014.652.014.652
1.516.208.740.234.370;18.715.944.089.078.400;5.343.037.974.683.540;25.128.205.128.205.100
15.163.087.463.378.900;18.715.944.089.078.400;5.343.037.974.683.540;252.014.652.014.652
15.164.087.524.414.000;18.679.496.291.436.500;5.353.463.414.634.140;25.128.205.128.205.100
15.165.087.585.449.200;18.679.496.291.436.500;5.353.463.414.634.140;25.128.205.128.205.100
15.166.087.646.484.300;18.679.496.291.436.500;5.353.463.414.634.140;25.128.205.128.205.100
15.167.087.707.519.500;18.679.496.291.436.500;5.353.463.414.634.140;24.835.164.835.164.800
15.168.087.768.554.600;18.643.048.493.794.700;53.639.296.187.683.200;25.128.205.128.205.100
15.169.087.829.589.800;18.606.600.696.152.900;5.374.436.826.640.540;25.128.205.128.205.100
15.170.087.890.625;18.570.152.898.511.100;5.384.985.279.685.960;25.054.945.054.945.000
15.171.087.951.660.100;18.606.600.696.152.900;5.374.436.826.640.540;252.014.652.014.652
15.172.088.012.695.300;18.570.152.898.511.100;5.384.985.279.685.960;25.128.205.128.205.100
15.173.088.073.730.400;18.570.152.898.511.100;5.384.985.279.685.960;25.128.205.128.205.100
15.174.088.134.765.600;18.570.152.898.511.100;5.384.985.279.685.960;252.014.652.014.652
15.175.088.195.800.700;18.570.152.898.511.100;5.384.985.279.685.960;25.128.205.128.205.100
15.176.088.256.835.900;1.853.370.510.086.920;53.955.752.212.389.300;25.128.205.128.205.100
15.177.088.317.871.000;18.497.257.303.227.400;5.406.206.896.551.720;25.054.945.054.945.000
1.517.808.837.890.620;18.497.257.303.227.400;5.406.206.896.551.720;25.054.945.054.945.000
15.179.088.439.941.400;18.460.809.505.585.600;5.416.880.552.813.420;25.128.205.128.205.100
15.180.088.500.976.500;18.497.257.303.227.400;5.406.206.896.551.720;252.014.652.014.652
15.181.088.562.011.700;18.460.809.505.585.600;5.416.880.552.813.420;25.128.205.128.205.100
15.182.088.623.046.800;184.243.617.079.438;54.275.964.391.691.300;252.014.652.014.652
15.183.088.684.082.000;184.243.617.079.438;54.275.964.391.691.300;25.128.205.128.205.100
15.184.088.745.117.100;184.243.617.079.438;54.275.964.391.691.300;25.128.205.128.205.100
15.185.088.806.152.300;18.387.913.910.301.900;5.438.354.806.739.340;25.128.205.128.205.100
151.860.888.671.875;18.387.913.910.301.900;5.438.354.806.739.340;25.054.945.054.945.000
15.187.088.928.222.600;18.387.913.910.301.900;5.438.354.806.739.340;25.128.205.128.205.100
15.188.088.989.257.800;1.835.146.611.266.010;54.491.559.086.395.200;252.014.652.014.652
15.189.089.050.292.900;18.315.018.315.018.300;54.6;25.128.205.128.205.100
15.190.089.111.328.100;18.315.018.315.018.300;54.6;252.014.652.014.652
15.191.089.172.363.200;18.278.570.517.376.400;5.470.887.337.986.040;25.128.205.128.205.100
15.192.089.233.398.400;18.315.018.315.018.300;54.6;25.128.205.128.205.100
15.193.089.294.433.500;18.278.570.517.376.400;5.470.887.337.986.040;25.128.205.128.205.100
1.519.408.935.546.870;1.824.212.271.973.460;5.481.818.181.818.180;25.128.205.128.205.100
15.195.089.416.503.900;1.824.212.271.973.460;5.481.818.181.818.180;25.054.945.054.945.000
15.196.089.477.539.000;18.205.674.922.092.800;54.927.927.927.927.900;25.128.205.128.205.100
15.197.089.538.574.200;18.205.674.922.092.800;54.927.927.927.927.900;25.128.205.128.205.100
15.198.089.599.609.300;18.205.674.922.092.800;54.927.927.927.927.900;25.128.205.128.205.100
15.199.089.660.644.500;18.169.227.124.451.000;55.038.114.343.029.000;25.128.205.128.205.100
15.200.089.721.679.600;18.169.227.124.451.000;55.038.114.343.029.000;25.054.945.054.945.000
15.201.089.782.714.800;18.132.779.326.809.100;5.514.874.371.859.290;25.128.205.128.205.100
1.520.208.984.375;18.096.331.529.167.300;55.259.818.731.117.800;2.564.102.564.102.560
15.203.089.904.785.100;18.096.331.529.167.300;55.259.818.731.117.800;25.054.945.054.945.000
15.204.089.965.820.300;18.059.883.731.525.500;5.537.134.207.870.830;252.014.652.014.652
15.205.090.026.855.400;18.059.883.731.525.500;5.537.134.207.870.830;252.014.652.014.652
15.206.090.087.890.600;18.059.883.731.525.500;5.537.134.207.870.830;25.128.205.128.205.100
15.207.090.148.925.700;18.023.435.933.883.600;5.548.331.648.129.420;25.128.205.128.205.100
15.208.090.209.960.900;18.023.435.933.883.600;5.548.331.648.129.420;25.128.205.128.205.100
15.209.090.270.996.000;18.023.435.933.883.600;5.548.331.648.129.420;25.128.205.128.205.100
1.521.009.033.203.120;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.211.090.393.066.400;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.212.090.454.101.500;17.986.988.136.241.800;5.559.574.468.085.100;25.054.945.054.945.000
15.213.090.515.136.700;17.986.988.136.241.800;5.559.574.468.085.100;25.054.945.054.945.000
15.214.090.576.171.800;17.986.988.136.241.800;5.559.574.468.085.100;252.014.652.014.652
15.215.090.637.207.000;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.216.090.698.242.100;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.217.090.759.277.300;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
152.180.908.203.125;17.950.540.338.600.000;5.570.862.944.162.430;252.014.652.014.652
15.219.090.881.347.600;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.220.090.942.382.800;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.221.091.003.417.900;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.222.091.064.453.100;17.986.988.136.241.800;5.559.574.468.085.100;252.014.652.014.652
15.223.091.125.488.200;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
15.224.091.186.523.400;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.225.091.247.558.500;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
1.522.609.130.859.370;17.986.988.136.241.800;5.559.574.468.085.100;25.054.945.054.945.000
15.227.091.369.628.900;17.986.988.136.241.800;5.559.574.468.085.100;252.014.652.014.652
15.228.091.430.664.000;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.229.091.491.699.200;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.230.091.552.734.300;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
15.231.091.613.769.500;17.986.988.136.241.800;5.559.574.468.085.100;25.128.205.128.205.100
15.232.091.674.804.600;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.233.091.735.839.800;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.234.091.796.875;17.986.988.136.241.800;5.559.574.468.085.100;25.054.945.054.945.000
15.235.091.857.910.100;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
15.236.091.918.945.300;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
15.237.091.979.980.400;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.238.092.041.015.600;17.914.092.540.958.200;5.582.197.355.035.600;25.128.205.128.205.100
15.239.092.102.050.700;17.950.540.338.600.000;5.570.862.944.162.430;25.128.205.128.205.100
15.240.092.163.085.900;17.914.092.540.958.200;5.582.197.355.035.600;25.054.945.054.945.000
15.241.092.224.121.000;17.914.092.540.958.200;5.582.197.355.035.600;25.128.205.128.205.100
1.524.209.228.515.620;17.950.540.338.600.000;5.570.862.944.162.430;25.054.945.054.945.000
15.243.092.346.191.400;17.914.092.540.958.200;5.582.197.355.035.600;25.128.205.128.205.100
15.244.092.407.226.500;17.914.092.540.958.200;5.582.197.355.035.600;25.054.945.054.945.000
15.245.092.468.261.700;1.787.764.474.331.630;5.593.577.981.651.370;25.128.205.128.205.100
15.246.092.529.296.800;1.787.764.474.331.630;5.593.577.981.651.370;25.128.205.128.205.100
15.247.092.590.332.000;1.787.764.474.331.630;5.593.577.981.651.370;25.128.205.128.205.100
15.248.092.651.367.100;1.787.764.474.331.630;5.593.577.981.651.370;25.128.205.128.205.100
15.249.092.712.402.300;1.787.764.474.331.630;5.593.577.981.651.370;25.128.205.128.205.100
152.500.927.734.375;17.841.196.945.674.500;56.050.051.072.523;25.128.205.128.205.100
15.251.092.834.472.600;17.841.196.945.674.500;56.050.051.072.523;25.128.205.128.205.100
15.252.092.895.507.800;17.841.196.945.674.500;56.050.051.072.523;252.014.652.014.652
15.253.092.956.542.900;17.841.196.945.674.500;56.050.051.072.523;252.014.652.014.652
15.254.093.017.578.100;17.804.749.148.032.700;5.616.479.017.400.200;25.128.205.128.205.100
15.255.093.078.613.200;17.804.749.148.032.700;5.616.479.017.400.200;25.128.205.128.205.100
15.256.093.139.648.400;17.804.749.148.032.700;5.616.479.017.400.200;25.128.205.128.205.100
15.257.093.200.683.500;17.804.749.148.032.700;5.616.479.017.400.200;25.128.205.128.205.100
1.525.809.326.171.870;17.804.749.148.032.700;5.616.479.017.400.200;252.014.652.014.652
15.259.093.322.753.900;177.683.013.503.909;5.628.000.000.000.000;252.014.652.014.652
15.260.093.383.789.000;17.804.749.148.032.700;5.616.479.017.400.200;25.128.205.128.205.100
15.261.093.444.824.200;177.683.013.503.909;5.628.000.000.000.000;24.835.164.835.164.800
15.262.093.505.859.300;177.683.013.503.909;5.628.000.000.000.000;25.128.205.128.205.100
15.263.093.566.894.500;17.731.853.552.749.000;56.395.683.453.237.400;25.274.725.274.725.200
15.264.093.627.929.600;177.683.013.503.909;5.628.000.000.000.000;252.014.652.014.652
15.265.093.688.964.800;177.683.013.503.909;5.628.000.000.000.000;25.128.205.128.205.100
1.526.609.375;17.731.853.552.749.000;56.395.683.453.237.400;25.128.205.128.205.100
15.267.093.811.035.100;17.731.853.552.749.000;56.395.683.453.237.400;25.128.205.128.205.100
15.268.093.872.070.300;17.731.853.552.749.000;56.395.683.453.237.400;252.014.652.014.652
15.269.093.933.105.400;17.695.405.755.107.200;56.511.843.460.350.100;25.128.205.128.205.100
15.270.093.994.140.600;17.695.405.755.107.200;56.511.843.460.350.100;252.014.652.014.652
15.271.094.055.175.700;17.695.405.755.107.200;56.511.843.460.350.100;252.014.652.014.652
15.272.094.116.210.900;17.658.957.957.465.400;5.662.848.297.213.620;25.274.725.274.725.200
15.273.094.177.246.000;17.695.405.755.107.200;56.511.843.460.350.100;252.014.652.014.652
1.527.409.423.828.120;17.695.405.755.107.200;56.511.843.460.350.100;252.014.652.014.652
15.275.094.299.316.400;17.658.957.957.465.400;5.662.848.297.213.620;252.014.652.014.652
15.276.094.360.351.500;17.695.405.755.107.200;56.511.843.460.350.100;25.787.545.787.545.700
15.277.094.421.386.700;17.658.957.957.465.400;5.662.848.297.213.620;25.274.725.274.725.200
15.278.094.482.421.800;17.658.957.957.465.400;5.662.848.297.213.620;252.014.652.014.652
15.279.094.543.457.000;17.658.957.957.465.400;5.662.848.297.213.620;252.014.652.014.652
15.280.094.604.492.100;17.658.957.957.465.400;5.662.848.297.213.620;25.274.725.274.725.200
15.281.094.665.527.300;17.658.957.957.465.400;5.662.848.297.213.620;25.274.725.274.725.200
152.820.947.265.625;17.658.957.957.465.400;5.662.848.297.213.620;25.274.725.274.725.200
15.283.094.787.597.600;1.762.251.015.982.350;567.456.049.638.056;252.014.652.014.652
15.284.094.848.632.800;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.285.094.909.667.900;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.286.094.970.703.100;17.658.957.957.465.400;5.662.848.297.213.620;252.014.652.014.652
15.287.095.031.738.200;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.288.095.092.773.400;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.289.095.153.808.500;1.762.251.015.982.350;567.456.049.638.056;252.014.652.014.652
1.529.009.521.484.370;1.762.251.015.982.350;567.456.049.638.056;252.014.652.014.652
15.291.095.275.878.900;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.292.095.336.914.000;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.293.095.397.949.200;17.658.957.957.465.400;5.662.848.297.213.620;25.347.985.347.985.300
15.294.095.458.984.300;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.295.095.520.019.500;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.296.095.581.054.600;1.762.251.015.982.350;567.456.049.638.056;25.274.725.274.725.200
15.297.095.642.089.800;1.762.251.015.982.350;567.456.049.638.056;25.347.985.347.985.300
15.298.095.703.125;1.758.606.236.218.170;5.686.321.243.523.310;25.274.725.274.725.200
15.299.095.764.160.100;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.300.095.825.195.300;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.301.095.886.230.400;1.762.251.015.982.350;567.456.049.638.056;25.347.985.347.985.300
15.302.095.947.265.600;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.303.096.008.300.700;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.304.096.069.335.900;1.758.606.236.218.170;5.686.321.243.523.310;25.274.725.274.725.200
15.305.096.130.371.000;1.758.606.236.218.170;5.686.321.243.523.310;2.542.124.542.124.540
1.530.609.619.140.620;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.307.096.252.441.400;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.308.096.313.476.500;1.758.606.236.218.170;5.686.321.243.523.310;25.347.985.347.985.300
15.309.096.374.511.700;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.310.096.435.546.800;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.311.096.496.582.000;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.312.096.557.617.100;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.313.096.618.652.300;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
153.140.966.796.875;17.549.614.564.539.900;5.698.130.841.121.490;25.274.725.274.725.200
15.315.096.740.722.600;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.316.096.801.757.800;17.513.166.766.898.100;57.099.895.941.727.300;2.542.124.542.124.540
15.317.096.862.792.900;17.549.614.564.539.900;5.698.130.841.121.490;25.347.985.347.985.300
15.318.096.923.828.100;17.513.166.766.898.100;57.099.895.941.727.300;25.274.725.274.725.200
15.319.096.984.863.200;17.513.166.766.898.100;57.099.895.941.727.300;25.347.985.347.985.300
15.320.097.045.898.400;17.513.166.766.898.100;57.099.895.941.727.300;25.347.985.347.985.300
15.321.097.106.933.500;17.513.166.766.898.100;57.099.895.941.727.300;25.347.985.347.985.300
1.532.209.716.796.870;17.513.166.766.898.100;57.099.895.941.727.300;2.542.124.542.124.540
15.323.097.229.003.900;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.324.097.290.039.000;17.513.166.766.898.100;57.099.895.941.727.300;2.542.124.542.124.540
15.325.097.351.074.200;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.326.097.412.109.300;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.327.097.473.144.500;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.328.097.534.179.600;17.476.718.969.256.200;5.721.897.810.218.970;25.347.985.347.985.300
15.329.097.595.214.800;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
1.533.009.765.625;1.744.027.117.161.440;5.733.855.799.373.040;25.347.985.347.985.300
15.331.097.717.285.100;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.332.097.778.320.300;1.744.027.117.161.440;5.733.855.799.373.040;2.542.124.542.124.540
15.333.097.839.355.400;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.334.097.900.390.600;1.744.027.117.161.440;5.733.855.799.373.040;2.542.124.542.124.540
15.335.097.961.425.700;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.336.098.022.460.900;1.744.027.117.161.440;5.733.855.799.373.040;2.542.124.542.124.540
15.337.098.083.496.000;1.744.027.117.161.440;5.733.855.799.373.040;2.542.124.542.124.540
1.533.809.814.453.120;1.744.027.117.161.440;5.733.855.799.373.040;25.347.985.347.985.300
15.339.098.205.566.400;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.340.098.266.601.500;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.341.098.327.636.700;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.342.098.388.671.800;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.343.098.449.707.000;17.476.718.969.256.200;5.721.897.810.218.970;25.347.985.347.985.300
15.344.098.510.742.100;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.345.098.571.777.300;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
153.460.986.328.125;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.347.098.693.847.600;17.476.718.969.256.200;5.721.897.810.218.970;24.688.644.688.644.600
15.348.098.754.882.800;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.349.098.815.917.900;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.350.098.876.953.100;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.351.098.937.988.200;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.352.098.999.023.400;17.513.166.766.898.100;57.099.895.941.727.300;2.542.124.542.124.540
15.353.099.060.058.500;17.513.166.766.898.100;57.099.895.941.727.300;25.567.765.567.765.500
1.535.409.912.109.370;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.355.099.182.128.900;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.356.099.243.164.000;17.513.166.766.898.100;57.099.895.941.727.300;25.567.765.567.765.500
15.357.099.304.199.200;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.358.099.365.234.300;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.359.099.426.269.500;17.513.166.766.898.100;57.099.895.941.727.300;25.567.765.567.765.500
15.360.099.487.304.600;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.361.099.548.339.800;17.513.166.766.898.100;57.099.895.941.727.300;25.567.765.567.765.500
15.362.099.609.375;17.549.614.564.539.900;5.698.130.841.121.490;25.494.505.494.505.400
15.363.099.670.410.100;17.549.614.564.539.900;5.698.130.841.121.490;25.567.765.567.765.500
15.364.099.731.445.300;17.513.166.766.898.100;57.099.895.941.727.300;25.567.765.567.765.500
15.365.099.792.480.400;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.366.099.853.515.600;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.367.099.914.550.700;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.368.099.975.585.900;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
15.369.100.036.621.000;17.513.166.766.898.100;57.099.895.941.727.300;25.494.505.494.505.400
1.537.010.009.765.620;17.513.166.766.898.100;57.099.895.941.727.300;2.542.124.542.124.540
15.371.100.158.691.400;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.372.100.219.726.500;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.373.100.280.761.700;17.476.718.969.256.200;5.721.897.810.218.970;25.567.765.567.765.500
15.374.100.341.796.800;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.375.100.402.832.000;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.376.100.463.867.100;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.377.100.524.902.300;17.476.718.969.256.200;5.721.897.810.218.970;25.567.765.567.765.500
153.781.005.859.375;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.379.100.646.972.600;17.476.718.969.256.200;5.721.897.810.218.970;2.542.124.542.124.540
15.380.100.708.007.800;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.381.100.769.042.900;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.382.100.830.078.100;17.476.718.969.256.200;5.721.897.810.218.970;25.494.505.494.505.400
15.383.100.891.113.200;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.384.100.952.148.400;1.744.027.117.161.440;5.733.855.799.373.040;25.567.765.567.765.500
15.385.101.013.183.500;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
1.538.610.107.421.870;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.387.101.135.253.900;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.388.101.196.289.000;17.403.823.373.972.600;574.586.387.434.555;25.494.505.494.505.400
15.389.101.257.324.200;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.390.101.318.359.300;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.391.101.379.394.500;1.744.027.117.161.440;5.733.855.799.373.040;25.934.065.934.065.900
15.392.101.440.429.600;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.393.101.501.464.800;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
153.941.015.625;17.403.823.373.972.600;574.586.387.434.555;25.567.765.567.765.500
15.395.101.623.535.100;17.403.823.373.972.600;574.586.387.434.555;25.567.765.567.765.500
15.396.101.684.570.300;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.397.101.745.605.400;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.398.101.806.640.600;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.399.101.867.675.700;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.400.101.928.710.900;17.403.823.373.972.600;574.586.387.434.555;25.494.505.494.505.400
15.401.101.989.746.000;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
1.540.210.205.078.120;17.367.375.576.330.700;5.757.922.350.472.190;25.494.505.494.505.400
15.403.102.111.816.400;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.404.102.172.851.500;1.744.027.117.161.440;5.733.855.799.373.040;25.494.505.494.505.400
15.405.102.233.886.700;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.406.102.294.921.800;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.407.102.355.957.000;17.367.375.576.330.700;5.757.922.350.472.190;25.494.505.494.505.400
15.408.102.416.992.100;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.409.102.478.027.300;17.367.375.576.330.700;5.757.922.350.472.190;25.494.505.494.505.400
154.101.025.390.625;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.411.102.600.097.600;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.412.102.661.132.800;17.367.375.576.330.700;5.757.922.350.472.190;25.494.505.494.505.400
15.413.102.722.167.900;17.403.823.373.972.600;574.586.387.434.555;2.542.124.542.124.540
15.414.102.783.203.100;17.367.375.576.330.700;5.757.922.350.472.190;25.494.505.494.505.400
15.415.102.844.238.200;17.367.375.576.330.700;5.757.922.350.472.190;24.908.424.908.424.900
15.416.102.905.273.400;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.417.102.966.308.500;1.733.092.777.868.890;57.700.315.457.413.200;2.542.124.542.124.540
1.541.810.302.734.370;17.367.375.576.330.700;5.757.922.350.472.190;25.274.725.274.725.200
15.419.103.088.378.900;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.420.103.149.414.000;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.421.103.210.449.200;17.367.375.576.330.700;5.757.922.350.472.190;2.542.124.542.124.540
15.422.103.271.484.300;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.423.103.332.519.500;1.733.092.777.868.890;57.700.315.457.413.200;25.494.505.494.505.400
15.424.103.393.554.600;1.733.092.777.868.890;57.700.315.457.413.200;2.542.124.542.124.540
15.425.103.454.589.800;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.426.103.515.625;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.427.103.576.660.100;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.428.103.637.695.300;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.429.103.698.730.400;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.430.103.759.765.600;1.733.092.777.868.890;57.700.315.457.413.200;2.542.124.542.124.540
15.431.103.820.800.700;1.733.092.777.868.890;57.700.315.457.413.200;25.274.725.274.725.200
15.432.103.881.835.900;17.367.375.576.330.700;5.757.922.350.472.190;25.347.985.347.985.300
15.433.103.942.871.000;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
1.543.410.400.390.620;1.733.092.777.868.890;57.700.315.457.413.200;25.347.985.347.985.300
15.435.104.064.941.400;17.367.375.576.330.700;5.757.922.350.472.190;25.347.985.347.985.300
15.436.104.125.976.500;17.367.375.576.330.700;5.757.922.350.472.190;25.347.985.347.985.300
15.437.104.187.011.700;17.367.375.576.330.700;5.757.922.350.472.190;25.347.985.347.985.300
15.438.104.248.046.800;17.367.375.576.330.700;5.757.922.350.472.190;25.347.985.347.985.300
15.439.104.309.082.000;1.733.092.777.868.890;57.700.315.457.413.200;25.274.725.274.725.200
15.440.104.370.117.100;17.367.375.576.330.700;5.757.922.350.472.190;25.274.725.274.725.200
15.441.104.431.152.300;17.367.375.576.330.700;5.757.922.350.472.190;25.274.725.274.725.200
154.421.044.921.875;17.367.375.576.330.700;5.757.922.350.472.190;25.128.205.128.205.100
15.443.104.553.222.600;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
15.444.104.614.257.800;17.403.823.373.972.600;574.586.387.434.555;25.347.985.347.985.300
15.445.104.675.292.900;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
15.446.104.736.328.100;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
15.447.104.797.363.200;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
15.448.104.858.398.400;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
15.449.104.919.433.500;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
1.545.010.498.046.870;1.744.027.117.161.440;5.733.855.799.373.040;25.274.725.274.725.200
15.451.105.041.503.900;17.403.823.373.972.600;574.586.387.434.555;25.274.725.274.725.200
